OID,InstanceOperations,Creator,CreatedDateTime,LastModifiedDateTime,EditorLayout,OwningOrganization,LastModifiedBy,LastAccessedBy,SubmitDate,AttachmentCount,OwningTeam,AllInSequenceMustApprove,ApprovalPhaseName,Approved,CurrentApprovalSequence,CurrentState,VIP,ClosedDateTime,Status,Workflow,BusinessHoursToApply,Sentiment,ActiveTaskOrder,EmailThreadID,EmailToHeader,EmailCcRecipients,EmailToRecipients,InboundEmailAlias,ItemSentiment,ItemSentimentDiff,SentimentTrend,LastSentimentCalcTime,SuggestionConfidence,EstimatedEffort,ExternalItemID,ExternalItemUrl,ExternalItemIDWithPrefix,ExternalProjectRefID,ExternalToolRefID,ExternalToolType,IsFulfillmentTicket,LastApprovalSequence,ModifiedApprovalPhases,IsInBusinessTime,SLADeadline,SLAHiddenStage,SLAExceeded,SLA,SLAStage,DueDate,ItemID,AssignedTo,Requester,Summary,BusinessTimeToAccept,BusinessTimeToResolve,ItemOwner,ImpactedResourcesPIT,ImpactedUsersAndGroupsPIT,ImpactedBusinessServicesPIT,ParentServiceItem,TimeSpent,CloseType,CompletedDate,Cost,Department,DepartmentNamePIT,IncidentRequestType,IncidentRequestTypeFullPathPIT,Impact,Level,Origin,Resolution,Message,EmailPIT,PhonePIT,LocationPIT,LocationNamePIT,TotalTime,Urgency,Priority,StartedDateTime,ActualStartDate,ActualCompleteDate,ActualDuration,ActualEffort,LaborCost,ResourceCost,SLAExceededPrediction,CallerNumber,CallerName,CallTime,OptimisticLockField,GCRecord,Notes,Description,TimeFromSubmitToClose
11,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-12-08 02:36:21,0,,1,,0,0,Closed,0,,Closed,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:34:37,IR-0000011,57,79,Cannot get newer version of the VPN client installed,9342.0,1.12302E7,,,,,,0.0,3,2018-12-08 05:00:00,22.0000,2,Marketing,18,2 - Service Request:Help Requester,4,3,3,"In the end, we could not get the newer version installed.  User will stick with the older version for the foreseeable future.",,pbenzer@acme.org,303-234-3434,13,Europe,1500.0,4,4,2018-12-08 02:34:37,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,144
12,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-12-08 02:41:09,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:39:47,IR-0000012,57,70,Grant access to end of quarter revenue report,8643.0,2456.0,60,FINANCIAL SERVICES,,FINANCIAL SERVICES,,0.0,,,0.0000,5,Finance,5,2 - Service Request:Reporting,4,2,1,,,jsimpson@acme.com,234-243-1234,5,North America:USA:San Francisco,60.0,4,4,2018-12-08 02:39:47,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
13,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-12-08 02:43:27,0,,1,,0,0,Pending Resolution,0,,Pending Resolution,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:42:08,IR-0000013,57,65,Restore deleted file from backup,7596900.0,0.0,60,EMAIL SERVICES,,EMAIL SERVICES,,0.0,,,0.0000,1,IT,4,2 - Service Request:Backup & Recovery,4,2,3,,,gsmith@acme.org,234-432-2344,1,North America,180.0,3,2,2018-12-08 02:42:08,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
14,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-12-08 02:46:16,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:43:42,IR-0000014,59,1,Recruiter cannot open a particular resume that is loaded in the HR system,8232.0,0.0,62,HR services,,HR SERVICES,,0.0,,,0.0000,1,IT,18,2 - Service Request:Help Requester,1,2,2,,,msullivan@acme.com,813-998-2234,3,North America:USA:Denver,180.0,1,2,2018-12-08 02:43:42,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
15,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-12-08 02:51:20,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:47:20,IR-0000015,59,79,Marketing lead database appears to be corrupted,7642.0,0.0,60,FINANCIAL SERVICES,,FINANCIAL SERVICES,,0.0,,,0.0000,2,Marketing,4,2 - Service Request:Backup & Recovery,1,3,1,,,pbenzer@acme.org,303-234-3434,13,Europe,600.0,1,1,2018-12-08 02:47:21,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
16,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-12-08 02:56:46,0,,1,,0,0,Pending Close,0,,Pending Close,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-12-08 02:54:21,IR-0000016,79,1,User's e-mail attachments show as inaccurate type and then fail to open,421.0,3451.0,57,,,,,0.0,2,2018-12-10 05:00:00,33.0000,1,IT,12,1 - Failure:Software,2,3,2,Had the user re-install the e-mail client and this fixed the problem.,,msullivan@acme.com,813-342-5434,3,North America:USA:Denver,420.0,2,2,2018-12-08 02:54:21,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,3004
17,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-09-28 21:15:36,0,,1,,0,0,Pending Resolution,0,,Pending Resolution,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-29 21:12:57,IR-0000017,8,1,Cannot access email,2340.0,0.0,57,Email Services,,EMAIL SERVICES,,0.0,,,0.0000,1,IT,8,2 - Service Request:Communications,1,2,2,,,msullivan@acme.com,813-822-9028,2,North America:USA:Tampa,900.0,1,1,,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
18,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-09-28 21:19:56,0,,1,,0,0,Pending Resolution,0,,Pending Resolution,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-29 21:17:39,IR-0000018,1,69,Email not working,2100.0,0.0,57,Email Services,,EMAIL SERVICES,,0.0,,,0.0000,4,Human Resources,2,1 - Failure:Communications:E-mail,1,3,2,,,tbryant@acme.com,813-842-5563,3,North America:USA:Denver,900.0,1,2,,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
19,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-09-28 21:48:26,0,,1,,0,0,Pending Resolution,0,,Pending Resolution,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-29 21:46:26,IR-0000019,8,72,Cannot send or recieve email,8.248999999999999,0.0,57,Email Services,,EMAIL SERVICES,,0.0,,,0.0000,7,IT,2,1 - Failure:Communications:E-mail,1,2,2,,,jputnam@acme.com,813-840-6211,5,North America:USA:San Francisco,600.0,1,1,,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
20,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-09-28 22:05:44,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-29 21:59:18,IR-0000020,9,69,Human Resources Color Printer down - HP Laser 4700 ,91.954,0.0,60,,,,,0.0,,,0.0000,4,Human Resources,6,2 - Service Request:Printing,2,3,4,,,tbryant@acme.com,813-445-6678,3,North America:USA:Denver,300.0,3,3,,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
21,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:17,,,,,2018-09-28 22:10:02,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-29 22:09:10,IR-0000021,8,76,Deleted important email files from blackberry - requesting a restoration of files from backup,372.224,0.0,57,Email Services,,EMAIL SERVICES,,0.0,,,0.0000,1,IT,4,2 - Service Request:Backup & Recovery,1,2,3,,,bjohnson@acme,813-983-3934,6,North America:Canada:Toronto,0.0,1,2,,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
22,18446744073709551615,1,2019-09-26 20:22:43,2019-09-26 20:26:18,,,,,2018-09-28 22:14:39,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-29 22:11:48,IR-0000022,71,69,New employee (Steven Potter) needs administrative access to change setting on his PC.,8400.0,0.0,61,,,,,0.0,,,0.0000,4,Human Resources,18,2 - Service Request:Help Requester,3,3,4,,,tbryant@acme.com,813-009-3321,3,North America:USA:Denver,0.0,3,3,,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
23,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-28 22:24:10,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-29 22:22:31,IR-0000023,9,69,Computer in Conference Room D needs to be set up by Monday,7800.0,0.0,61,,,,,0.0,,,0.0000,4,Human Resources,1,2 - Service Request,2,2,3,,,tbryant@acme.com,813-334-5567,3,North America:USA:Denver,0.0,1,2,,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
24,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-28 22:26:08,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-29 22:25:18,IR-0000024,1,72,Error occurs when opening Microsoft Word,7680.0,0.0,61,,,,,0.0,,,0.0000,7,IT,16,1 - Failure:Software:Desktop Application,1,1,2,,,jputnam@acme.com,813-840-6211,5,North America:USA:San Francisco,0.0,1,3,,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
25,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-29 14:02:48,0,,1,,0,0,Pending Resolution,0,,Pending Resolution,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-30 13:59:56,IR-0000025,71,77,Not able to connect to Internet,19.468999999999998,0.0,60,,,,,0.0,,,0.0000,5,Finance,13,1 - Failure:Network:Cannot Connect to LAN/WAN,2,1,2,Researching...,,gjackson@xyz.com,(312) 453-8838,1,North America,0.0,2,2,,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
26,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-29 14:29:12,0,,1,,0,0,Pending Resolution,0,,Pending Resolution,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-30 14:28:18,IR-0000026,8,81,Internet is not working properly,43.016999999999996,0.0,60,,,,,0.0,,,0.0000,6,Marketing,14,1 - Failure:Network:No Internet Access,1,1,2,,,rstephens@acme.com,714-599-6874,6,North America:USA:Fort Lauderdale,600.0,1,2,,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
27,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-29 14:33:07,0,,1,,0,0,New,0,,New,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-30 14:32:35,IR-0000027,,79,Cannot access CRM,0.0,0.0,60,,,,,0.0,,,0.0000,2,Marketing,15,1 - Failure:Software:Business Application,1,1,2,,,pbenzer@acme.org,303-234-3434,13,Europe,0.0,1,2,,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
28,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-29 14:39:08,0,,1,,0,0,New,0,,New,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-30 14:37:55,IR-0000028,1,73,Blackberry is not recieving new messages,0.0,0.0,57,,,,,0.0,,,0.0000,1,IT,9,3 - Work Request:Equipment Configuration,2,1,2,,,dsantaro@acme.com,813-998-2234,8,North America:Canada:Montreal,0.0,3,3,,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
29,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-29 14:41:23,0,,1,,0,0,New,0,,New,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-30 14:39:58,IR-0000029,71,69,Needs newest Microsoft office installed on demo laptop,0.0,0.0,61,,,,,0.0,,,0.0000,4,Human Resources,1,2 - Service Request,2,,2,,,tbryant@acme.com,813-332-3245,3,North America:USA:Denver,0.0,2,4,,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
30,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-29 14:43:46,0,,1,,0,0,New,0,,New,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-09-30 14:42:18,IR-0000030,8,67,Projector in 1st floor Conference Room not working,0.0,0.0,61,,,,,0.0,,,0.0000,2,Sales,17,1 - Failure:Hardware:Desktop Peripheral,2,,2,,,jramond@acme.com,813-998-2234,10,Europe,0.0,1,1,,,,0.0,0.0,0.0000,0.0000,0,,,,5,,,,
31,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-30 19:06:09,0,,1,,0,0,In-Progress,0,,In-Progress,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-10-01 18:56:43,IR-0000031,8,77,Cannot send or recieve email,46.047999999999995,0.0,57,Email Services,,EMAIL SERVICES,,0.0,,,0.0000,5,Finance,2,1 - Failure:Communications:E-mail,1,2,2,,,gjackson@acme.com,(312) 453-8838,1,North America,2700.0,1,1,,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
32,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-30 19:20:28,0,,1,,0,0,Pending Resolution,0,,Pending Resolution,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-10-01 19:20:11,IR-0000032,8,73,Cannot send or recieve email,2.84,0.0,57,Email Services,,EMAIL SERVICES,,0.0,,,0.0000,1,IT,2,1 - Failure:Communications:E-mail,1,2,2,,,dsantaro@acme.com,998-334-6643,8,North America:Canada:Montreal,0.0,1,1,,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
33,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:18,,,,,2018-09-30 23:00:25,0,,1,,0,0,Pending Resolution,0,,Pending Resolution,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2019-10-01 22:01:21,IR-0000033,8,71,Cannot send or recieve email,2.927,0.0,57,Email Services,,EMAIL SERVICES,,0.0,,,0.0000,1,IT,2,1 - Failure:Communications:E-mail,1,2,2,,,ngriffin@acme.com,250-964-8555,2,Tampa,0.0,1,1,,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
34,18446744073709551615,1,2019-09-26 20:22:44,2019-09-26 20:26:19,,,,,2019-02-17 17:36:21,0,,1,,0,0,New,0,,New,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0,0,,1,0.0,,0,,,2020-02-17 17:34:17,IR-0000034,57,63,Network SNMP trap,21.294,0.0,57,HERMES;Email Services,,EMAIL SERVICES;SERVICE DESK;FINANCIAL SERVICES;EMAIL SERVICES,,0.0,,,0.0000,,,3,4 - Event:Warning,3,1,3,,,,,,,0.0,4,4,,,,0.0,0.0,0.0000,0.0000,0,,,,7,,,,
